,wine_notes_clean
1466,A dark and winey style offering a mix of plum black currant and black cherry notes infused with black tea fruitcake and anise accents Solidly built vibrant and energetic from start to finish this carries copious fruit easily through the lengthy finish Grenache Cinsault Syrah Mourv dre and Counoise Best from through cases imported
1467,This offers blackberry boysenberry and a a berry compote flavors that sparkle with anise sassafras and sage accents Shows serious tarry grip but that recedes into the fruit as this airs in the glass leaving embers of singed juniper and alder at the very end Best from through cases made
1468,Sandalwood inflected dried cherry and berry flavors are filled with sanguine richness The lusciously spiced finish features a creamy texture Drink now through cases made cases imported
1469,Svelte and finely knit this vivid white is driven by both its minerally underpinning and its rapierlike acidic frame components well meshed with the pleasing range of pink grapefruit sorbet nectarine and grated ginger notes plus a touch of almond skin that imparts a light tactile sensation to the racy finish Drink now through cases made cases imported
1470,Elegant with dark plum and currant notes that are lively and balanced due to a bright beam of acidity and soft tannins lending support and depth Not a big Cabernet but one that would pair well with a variety of foods Best from through cases made cases imported
1471,A spry and appealing red with lively black cherry and dried sage flavors that add richness toward fine grained tannins Drink now through cases made
1472,Ruby grapefruit passionfruit and green apple flavors are vibrant and expressive on a juicy frame Shows off terrific transparency to the fruit flavors and a long finish where a touch of Dragonwell green tea peeks through Drink now cases made cases imported
1473,A minerally version creamy and medium bodied with tangy acidity and a zesty edge to the flavors of poached pear apricot tart and anise showing a hint of toasted almond that echoes on the finish Drink now through cases imported
1474,A whiff of white pepper and bay leaf gives way to bright raspberry and currant flavors backed by tangy acidity along with details of game anise and tea that add depth and interest Powerful but inviting Mourv dre and Grenache Drink now through cases made
1475,Apricot and tangerine flavors are set on the fine mousse of this expressive Cava layered with hints of pastry cream toasted almond and candied ginger Fresh and zesty on the lingering finish Drink now through cases made cases imported
1476,Distinctive with vibrant flavors of violet juniper and anise out front backed by a core of intense dark currant plum and cherry fruit Firmly grounded showing serious cut and drive through the bay leaf and sage accented finish which sports ample toast alongside the fruit and floral elements A chiseled ripped Cabernet for the cellar Cabernet Sauvignon Merlot Petit Verdot and Cabernet Franc Best from through cases made
1477,Very pure with clearly defined plum blackberry and black cherry preserve flavors gliding through gently infused with anise and black tea details along the way The fruit is so seductive you might miss the sneaky graphite edged grip that builds through the finish promising solid cellaring potential Merlot Cabernet Sauvignon and Cabernet Franc Best from through cases made
1478,Supple and elegantly layered with pretty raspberry spiced cinnamon and black tea flavors that flesh out on a long finish Drink now through cases made
1479,Rich with flint and sea salt notes to the dried fig quince and preserved lemon flavors followed by egg cream accents on the well spiced finish Drink now through cases made
